date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-02-10,5,-1,0.0,4.9,1,1,89,07:42 PM,08:42 AM,08:32 AM,06:10 PM,1,-2,2,-2,26,87,91,1.1,991,5,9,162,16
2009-02-11,3,-0,0.2,4.9,1,1,82,09:07 PM,08:56 AM,08:30 AM,06:12 PM,-0,-5,1,-5,36,99,92,1.1,1001,3,8,298,23
2009-02-12,-0,-3,0.0,4.9,1,1,74,10:29 PM,09:09 AM,08:28 AM,06:13 PM,-3,-6,-2,-6,24,89,89,0.0,1012,-0,10,293,15
2009-02-13,1,-4,0.0,9.9,2,2,67,11:49 PM,09:22 AM,08:26 AM,06:15 PM,-3,-5,-2,-5,14,21,88,0.0,1016,1,9,266,10
2009-02-14,-0,-5,0.2,6.6,1,1,59,No moonrise,09:36 AM,08:24 AM,06:17 PM,-4,-7,-3,-7,20,65,93,0.2,1021,-0,6,317,13
2009-02-15,0,-4,0.0,5.0,1,1,51,01:08 AM,09:53 AM,08:22 AM,06:19 PM,-2,-6,-2,-6,23,89,94,0.0,1023,0,8,264,15
2009-02-16,1,-1,1.6,5.0,1,1,44,02:24 AM,10:15 AM,08:20 AM,06:21 PM,-0,-1,0,-1,7,100,97,1.8,1017,1,2,205,4
2009-02-17,-1,-6,0.2,10.0,1,1,36,03:38 AM,10:44 AM,08:18 AM,06:23 PM,-3,-7,-2,-7,20,55,93,0.2,1020,-1,7,113,13
2009-02-18,-1,-10,0.0,8.3,1,1,29,04:42 AM,11:24 AM,08:16 AM,06:25 PM,-5,-8,-4,-8,17,54,96,0.0,1027,-1,5,329,11
2009-02-19,-0,-9,0.0,5.1,1,1,21,05:36 AM,12:15 PM,08:14 AM,06:27 PM,-4,-7,-3,-7,20,91,94,0.0,1023,-0,7,264,12
2009-02-20,1,-1,0.4,5.1,1,1,14,06:17 AM,01:17 PM,08:12 AM,06:29 PM,-0,-2,0,-2,10,100,99,1.9,1023,1,3,194,7
2009-02-21,-0,-4,0.1,8.4,1,1,6,06:48 AM,02:26 PM,08:10 AM,06:30 PM,-2,-4,-2,-4,11,78,97,0.1,1029,-0,2,123,7
2009-02-22,3,-1,0.0,5.1,1,1,0,07:11 AM,03:41 PM,08:08 AM,06:32 PM,1,-2,1,-2,26,100,100,0.4,1016,3,7,236,15
2009-02-23,3,0,0.2,5.1,1,1,0,07:29 AM,04:55 PM,08:06 AM,06:34 PM,2,-2,2,-2,29,98,99,1.0,1009,3,5,299,17
2009-02-24,3,1,0.1,5.2,1,1,0,07:43 AM,06:11 PM,08:04 AM,06:36 PM,1,-1,2,-1,15,90,96,0.2,1022,3,5,321,10
2009-02-25,4,-1,0.0,5.2,1,1,1,07:55 AM,07:26 PM,08:02 AM,06:38 PM,2,-1,2,-1,23,81,95,0.1,1025,4,8,242,14
2009-02-26,7,3,0.0,5.4,1,1,9,08:06 AM,08:43 PM,07:59 AM,06:40 PM,4,1,5,1,33,97,95,1.0,1013,7,6,249,19
2009-02-27,6,3,0.0,7.0,1,1,16,08:18 AM,10:01 PM,07:57 AM,06:42 PM,3,1,5,1,26,81,89,0.2,1011,6,9,285,16
2009-02-28,7,2,0.0,5.4,1,1,24,08:32 AM,11:23 PM,07:55 AM,06:44 PM,3,3,4,3,11,88,92,0.1,1015,7,5,192,7
2009-03-01,8,5,0.0,5.5,2,2,30,08:48 AM,No moonset,07:53 AM,06:45 PM,5,4,6,4,16,99,94,0.2,1014,8,7,117,11
2009-03-02,10,5,0.0,5.5,2,2,37,09:10 AM,12:46 AM,07:51 AM,06:47 PM,6,5,7,5,17,100,92,0.4,1012,10,8,210,11
2009-03-03,8,3,0.0,8.6,2,2,45,09:40 AM,02:10 AM,07:49 AM,06:49 PM,2,4,6,4,13,67,81,0.2,1015,8,9,218,9
2009-03-04,8,2,0.0,7.0,1,1,52,10:24 AM,03:30 AM,07:46 AM,06:51 PM,3,2,5,2,23,76,90,0.1,1001,8,8,129,14
2009-03-05,11,5,0.0,8.6,2,2,59,11:25 AM,04:36 AM,07:44 AM,06:53 PM,7,5,8,5,26,78,91,0.1,989,11,10,90,16
2009-03-06,6,4,0.0,5.6,1,1,67,12:43 PM,05:27 AM,07:42 AM,06:55 PM,3,2,5,2,16,100,90,1.2,994,6,7,54,12
2009-03-07,4,3,0.0,5.6,1,1,74,02:11 PM,06:02 AM,07:40 AM,06:56 PM,3,1,4,1,17,97,91,0.1,1006,4,7,303,11
2009-03-08,6,0,0.0,5.6,1,1,81,03:42 PM,06:27 AM,07:37 AM,06:58 PM,3,1,4,1,19,85,93,0.0,1005,6,7,222,12
2009-03-09,6,2,0.0,8.7,2,2,88,05:10 PM,06:46 AM,07:35 AM,07:00 PM,2,1,4,1,22,80,86,1.7,1004,6,7,254,14
2009-03-10,7,2,0.0,7.3,1,1,96,06:36 PM,07:01 AM,07:33 AM,07:02 PM,3,2,5,2,24,69,87,1.2,1007,7,8,242,16
2009-03-11,6,2,0.0,5.9,1,1,100,08:00 PM,07:14 AM,07:30 AM,07:04 PM,2,1,4,1,20,91,88,0.2,1014,6,7,298,13
2009-03-12,7,2,0.0,7.3,1,1,90,09:22 PM,07:28 AM,07:28 AM,07:06 PM,2,1,4,1,17,80,86,0.6,1018,7,9,248,11
2009-03-13,7,4,0.0,5.9,2,2,83,10:42 PM,07:41 AM,07:26 AM,07:07 PM,5,3,6,3,22,92,93,0.5,1016,7,8,303,14
2009-03-14,12,2,0.0,10.2,3,3,75,No moonrise,07:57 AM,07:23 AM,07:09 PM,4,5,7,5,13,62,84,0.0,1017,12,7,202,8
2009-03-15,7,7,0.0,6.0,2,2,68,12:01 AM,08:17 AM,07:21 AM,07:11 PM,6,5,7,5,18,93,93,0.7,1019,7,5,275,12
2009-03-16,10,4,0.0,8.8,3,3,61,01:18 AM,08:44 AM,07:19 AM,07:13 PM,4,6,7,6,10,54,84,0.1,1031,10,8,157,7
2009-03-17,11,4,0.0,10.2,3,3,53,02:27 AM,09:20 AM,07:16 AM,07:15 PM,3,4,7,4,31,52,78,0.5,1027,11,7,287,19
2009-03-18,9,1,0.0,8.8,2,2,46,03:27 AM,10:06 AM,07:14 AM,07:16 PM,0,2,5,2,24,49,71,0.1,1027,9,10,303,16
2009-03-19,8,0,0.0,11.6,2,2,39,04:13 AM,11:04 AM,07:12 AM,07:18 PM,-2,2,5,2,21,29,65,0.0,1026,8,10,95,15
2009-03-20,6,-2,0.0,11.6,2,2,32,04:48 AM,12:11 PM,07:09 AM,07:20 PM,-3,0,2,0,11,24,68,0.0,1032,6,10,33,8
2009-03-21,8,-3,0.0,11.6,2,2,24,05:14 AM,01:23 PM,07:07 AM,07:22 PM,-4,1,4,1,17,30,62,0.0,1027,8,10,253,11
